name,dish,Operation time
900 Park,,
15 East,,
00 + Co,,
abcV,,
4 Charles Prime Rib,,
Africa Kine,,
2nd Avenue Deli,,
A Voce Madison,{},
21 Greenpoint,"{'Dinner Menu': {'Pizza': 'Pizza Margarita,Pizza Meg Ryan,Pizza T.M.N.T.,Special Pizza,White Pizza', 'Salads': ""Neptune Cesar,Beet & Watermelon,Hickey's Salad"", 'Appetizer': 'Crostini,Oven Roasted Cauliflower,Eggplant Caponata', 'Snacks': 'Riverdog Oysters,Blistered Shishitos,Hot Squid,Ceviche', 'Main Course': ""Seared Ricotta Gnocchi,Pot of Mussels,Chicken Roulade,Saffron Risotto,Pan Roasted Corvina,Homer's Double,Pork Chop New York,Squid Ink Spaghetti and Clams""}}",Mon–Thu 5:00 pm–11:00 pm    Sat 11:00 am–12:00 am    Sun 11:00 am–11:00 pm
al Bustan,,
21 Club,"{'Prix Fixe Menu': {'Main Courses': 'Faroe Island Salmon,Red Wine Braised Short Ribs,Lemon Chicken,Mushroom Cavatelli', 'Desserts': 'Chocolate Lava Cake,Pineapple Upside-Down Cake,Rice Pudding', 'Appetizers': 'Soup du Jour,The Wedge,Chopped Salad,Deviled Eggs'}, 'Dinner Menu': {'Main Courses': 'Vegetarian Tasting,Hokaido Sea Scallops,Parmesan Crusted Halibut,Dover Sole*,Rohan Duck,Creamy Chicken Hash*,Rabbit Saddle,Lamb Bolognese,21 Burger*,Speakeasy Steak Tartare*', 'Chilled Seafood': ""Oysters and Clams,Jumbo Shrimp Cocktail,Tuna Tartare,Clayton's Jumbo Lump Crabmeat,Pressed Octopus,Shellfish Tower"", 'Off the Grill': 'Center Cut Filet Mignon,Prime Dry-Aged Ribeye Steak,Prime Dry-Aged Porterhouse (for two)', 'Side Orders': 'Creamed Spinach,Grilled Asparagus,Cremini Mushrooms,Cheddar Grits,Heirloom Rice,Olive Oil Whipped Potato,French Fries,Pommes Soufflées,Truffle Macaroni and Cheese', 'Desserts': 'FOR TWO: Drunken Chocolate Cake,Banana Foster,Baked Alaska,New York Cheesecake,Apple Pie,Crème Brûlée Tasting,Profiteroles,Grand Marnier Soufflé,Chocolate Soufflé', 'Caviar': 'Siberian Caviar,Kaluga Caviar,Imperial Osetra Caviar', 'Appetizers': ""Soup du Jour,'21' Caesar Salad*,Foie Gras Terrine,Housemade Smoked Salmon,Lobster en Paupiette,Burgundy Escargot,Raviolo,Crab Cake*""}}","Lunch: 12:00-2:30pm Monday-Friday                   Dinner: 5:30-10:00pm Monday-Friday, 5:30pm-11:00pm Saturday    Upstairs at '21': Dinner: 5:30-10:00pm Friday and Saturday     DRESS CODE: No jeans or sneakers. Jackets are necessary for gentlemen. Kindly note that shorts and flip-flops are not permitted."
Al di Là,,
Achilles Heel,{},
Allswell,,
Aburiya Kinnosuke,{},
Abyssinia,{},
Aldo Sohm Wine Bar,,
Agern,{},Breakfast: Monday - Friday: 7:00am - 10:00am    Lunch: Monday - Friday: 11:30am - 2:30pm     Dinner: Monday - Saturday: 5:30pm - 10:00pm                     Sunday: 5:30pm - 9:00pm
