name	Operation time	dish	url																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
00 + Co			https://www.opentable.com/s/?covers=2&metroId=8&term=00%20+%20Co																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
4 Charles Prime Rib			https://www.opentable.com/s/?covers=2&metroId=8&term=4%20Charles%20Prime%20Rib																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
900 Park			https://www.opentable.com/s/?covers=2&metroId=8&term=900%20Park																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
15 East			https://www.opentable.com/s/?covers=2&metroId=8&term=15%20East																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
abcV			https://www.opentable.com/s/?covers=2&metroId=8&term=abcV																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
2nd Avenue Deli			https://www.opentable.com/s/?covers=2&metroId=8&term=2nd%20Avenue%20Deli																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
al Bustan			https://www.opentable.com/s/?covers=2&metroId=8&term=al%20Bustan																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Africa Kine			https://www.opentable.com/s/?covers=2&metroId=8&term=Africa%20Kine																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Abyssinia		{}	https://www.opentable.com/r/abyssinia-santa-rosa?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
21 Greenpoint	Mon–Thu 5:00 pm–11:00 pm||Sat 11:00 am–12:00 am||Sun 11:00 am–11:00 pm	"{'Dinner Menu': {'Salads': ""Neptune Cesar,Beet & Watermelon,Hickey's Salad"", 'Appetizer': 'Crostini,Oven Roasted Cauliflower,Eggplant Caponata', 'Snacks': 'Riverdog Oysters,Blistered Shishitos,Hot Squid,Ceviche', 'Pizza': 'Pizza Margarita,Pizza Meg Ryan,Pizza T.M.N.T.,Special Pizza,White Pizza', 'Main Course': ""Seared Ricotta Gnocchi,Pot of Mussels,Chicken Roulade,Saffron Risotto,Pan Roasted Corvina,Homer's Double,Pork Chop New York,Squid Ink Spaghetti and Clams""}}"	https://www.opentable.com/r/21-greenpoint-brooklyn?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
